flow1,flow2,flow3,flow4,flow5,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6
12.0,11.0,11.0,5.0,0.0,0.392,0.187,0.026,0.184,0.199,0.189
12.0,10.0,11.0,5.0,0.0,0.407,0.197,0.025,0.193,0.205,0.192
12.0,11.0,10.0,5.0,0.0,0.398,0.187,0.026,0.193,0.203,0.192
12.0,10.0,11.0,5.0,0.0,0.401,0.198,0.026,0.194,0.204,0.193
12.0,11.0,11.0,6.0,0.0,0.397,0.19,0.025,0.194,0.204,0.194
11.0,10.0,11.0,5.0,0.0,0.395,0.196,0.025,0.193,0.204,0.191
12.0,11.0,10.0,5.0,0.0,0.39,0.193,0.025,0.193,0.204,0.193
12.0,10.0,11.0,5.0,0.0,0.399,0.195,0.027,0.195,0.207,0.196
12.0,11.0,11.0,5.0,0.0,0.384,0.17,0.028,0.169,0.183,0.173
13.0,11.0,11.0,5.0,0.0,0.393,0.171,0.026,0.169,0.186,0.175
12.0,11.0,12.0,4.0,0.0,0.38,0.17,0.026,0.167,0.183,0.173
12.0,11.0,11.0,5.0,0.0,0.39,0.172,0.026,0.169,0.183,0.174
13.0,11.0,11.0,4.0,0.0,0.388,0.171,0.026,0.17,0.186,0.173
12.0,11.0,11.0,4.0,0.0,0.389,0.171,0.026,0.17,0.187,0.174
13.0,11.0,12.0,5.0,0.0,0.383,0.172,0.026,0.169,0.187,0.175
12.0,11.0,11.0,4.0,0.0,0.383,0.17,0.025,0.166,0.184,0.171
12.0,11.0,11.0,4.0,0.0,0.387,0.171,0.025,0.169,0.182,0.172
13.0,11.0,11.0,4.0,0.0,0.386,0.169,0.024,0.17,0.186,0.173
12.0,11.0,12.0,5.0,0.0,0.387,0.171,0.026,0.169,0.185,0.17
13.0,11.0,11.0,4.0,0.0,0.384,0.17,0.025,0.169,0.184,0.173
12.0,11.0,11.0,4.0,0.0,0.393,0.172,0.025,0.169,0.186,0.173
13.0,11.0,12.0,5.0,0.0,0.383,0.169,0.025,0.167,0.182,0.171
12.0,11.0,11.0,4.0,0.0,0.384,0.171,0.024,0.169,0.185,0.173
13.0,12.0,11.0,4.0,0.0,0.385,0.171,0.025,0.167,0.185,0.171
12.0,10.0,11.0,4.0,0.0,0.382,0.169,0.023,0.169,0.183,0.174
12.0,12.0,12.0,5.0,0.0,0.387,0.168,0.021,0.175,0.189,0.178
13.0,10.0,8.0,2.0,0.0,0.396,0.198,0.023,0.199,0.21,0.194
11.0,11.0,7.0,2.0,0.0,0.389,0.196,0.023,0.196,0.205,0.193
12.0,10.0,7.0,1.0,0.0,0.386,0.191,0.022,0.194,0.203,0.189
12.0,11.0,7.0,2.0,0.0,0.399,0.198,0.023,0.199,0.208,0.198
12.0,10.0,7.0,1.0,0.0,0.395,0.197,0.024,0.198,0.206,0.191
12.0,10.0,7.0,2.0,0.0,0.401,0.199,0.023,0.197,0.207,0.198
12.0,11.0,7.0,1.0,0.0,0.397,0.196,0.022,0.197,0.205,0.193
12.0,10.0,6.0,2.0,0.0,0.393,0.195,0.024,0.196,0.205,0.191
13.0,11.0,7.0,1.0,0.0,0.394,0.194,0.024,0.195,0.204,0.192
