flow1,flow2,flow3,flow4,flow5,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6
17.0,16.0,1.0,0.0,15.0,0.248,-0.022,0.012,-0.018,-0.013,-0.018
18.0,17.0,2.0,0.0,15.0,0.243,-0.021,0.012,-0.018,-0.012,-0.019
18.0,17.0,1.0,0.0,16.0,0.239,-0.023,0.012,-0.017,-0.01,-0.016
18.0,17.0,1.0,0.0,16.0,0.245,-0.022,0.011,-0.016,-0.012,-0.017
18.0,17.0,2.0,0.0,15.0,0.245,-0.023,0.01,-0.019,-0.012,-0.017
18.0,16.0,1.0,0.0,15.0,0.244,-0.021,0.013,-0.016,-0.014,-0.021
18.0,17.0,1.0,0.0,16.0,0.243,-0.024,0.012,-0.019,-0.013,-0.015
18.0,17.0,2.0,0.0,15.0,0.242,-0.022,0.012,-0.016,-0.009,-0.016
17.0,17.0,1.0,0.0,16.0,0.245,-0.021,0.011,-0.018,-0.012,-0.019
18.0,16.0,1.0,0.0,15.0,0.244,-0.024,0.011,-0.019,-0.012,-0.018
18.0,17.0,2.0,0.0,15.0,0.24,-0.025,0.011,-0.018,-0.012,-0.019
18.0,17.0,1.0,0.0,16.0,0.24,-0.024,0.01,-0.019,-0.014,-0.018
18.0,16.0,2.0,0.0,15.0,0.241,-0.023,0.011,-0.016,-0.011,-0.018
18.0,17.0,1.0,0.0,15.0,0.244,-0.025,0.009,-0.019,-0.016,-0.022
18.0,17.0,1.0,0.0,16.0,0.246,-0.023,0.012,-0.019,-0.012,-0.016
18.0,17.0,2.0,0.0,15.0,0.244,-0.023,0.01,-0.018,-0.015,-0.02
19.0,18.0,1.0,0.0,17.0,0.242,-0.025,0.01,-0.016,-0.014,-0.018
18.0,17.0,2.0,0.0,15.0,0.24,-0.026,0.01,-0.019,-0.013,-0.02
18.0,17.0,1.0,0.0,16.0,0.242,-0.024,0.01,-0.019,-0.013,-0.02
18.0,16.0,2.0,0.0,15.0,0.237,-0.025,0.007,-0.022,-0.018,-0.021
18.0,17.0,1.0,0.0,16.0,0.246,-0.025,0.01,-0.021,-0.016,-0.02
18.0,17.0,1.0,0.0,15.0,0.245,-0.025,0.009,-0.022,-0.014,-0.022
17.0,17.0,2.0,0.0,16.0,0.239,-0.026,0.01,-0.02,-0.015,-0.02
19.0,17.0,1.0,0.0,15.0,0.242,-0.029,0.009,-0.023,-0.015,-0.022
18.0,16.0,2.0,0.0,16.0,0.244,-0.024,0.009,-0.02,-0.016,-0.02
18.0,17.0,1.0,0.0,15.0,0.237,-0.027,0.011,-0.018,-0.013,-0.019
18.0,17.0,1.0,0.0,16.0,0.246,-0.025,0.01,-0.018,-0.013,-0.019
17.0,16.0,2.0,0.0,15.0,0.246,-0.026,0.009,-0.02,-0.016,-0.02
19.0,18.0,1.0,0.0,16.0,0.241,-0.027,0.009,-0.019,-0.015,-0.021
17.0,16.0,2.0,1.0,15.0,0.241,-0.026,0.01,-0.02,-0.015,-0.021
18.0,17.0,1.0,0.0,16.0,0.247,-0.027,0.009,-0.02,-0.016,-0.022
18.0,17.0,2.0,0.0,15.0,0.237,-0.027,0.008,-0.019,-0.015,-0.02
18.0,17.0,1.0,0.0,16.0,0.242,-0.024,0.008,-0.019,-0.016,-0.021
19.0,17.0,1.0,0.0,15.0,0.237,-0.024,0.01,-0.019,-0.017,-0.021
18.0,17.0,2.0,0.0,16.0,0.243,-0.024,0.009,-0.02,-0.015,-0.018
18.0,17.0,1.0,0.0,15.0,0.236,-0.03,0.008,-0.018,-0.013,-0.017
18.0,17.0,2.0,0.0,15.0,0.242,-0.028,0.006,-0.021,-0.017,-0.022
18.0,16.0,1.0,0.0,16.0,0.241,-0.031,0.006,-0.023,-0.019,-0.021
18.0,17.0,2.0,0.0,15.0,0.236,-0.03,0.007,-0.021,-0.017,-0.024
18.0,17.0,1.0,0.0,16.0,0.234,-0.031,0.004,-0.023,-0.019,-0.023
