id,timestamp,sensors.flow0.value,sensors.flow1.value,sensors.flow2.value,sensors.flow3.value,sensors.flow4.value,sensors.pressure0.value,sensors.pressure1.value,sensors.pressure2.value,sensors.pressure3.value,sensors.pressure4.value,sensors.pressure5.value,valves.bigvalve0.value,valves.bigvalve1.value,valves.valve0.value,valves.valve1.value,valves.valve2.value,valves.valve3.value,valves.valve4.value,valves.change_time
5306,1765193539.3097835,3.0413618982286232,2.4048008944355637,0.21218831421490267,0.0,2.5462597705788323,1.9080000000000001,0.924,1.044,0.9400000000000001,0.9,0.904,1,1,1,0,0,1,0,38.60733890533447
5307,1765193540.2986662,3.088305369508026,2.3864193190354817,0.1403776295536722,0.0,2.596987398356711,1.9040000000000001,0.912,1.04,0.9400000000000001,0.904,0.908,1,1,1,0,0,1,0,39.72518992424011
5308,1765193541.1179187,3.088305369508026,2.3864193190354817,0.1403776295536722,0.0,2.596987398356711,1.9120000000000001,0.916,1.044,0.9400000000000001,0.9,0.896,1,1,1,0,0,1,0,40.71646451950073
5309,1765193542.294044,3.088305369508026,2.3864193190354817,0.1403776295536722,0.0,2.596987398356711,1.868,0.908,1.04,0.9400000000000001,0.896,0.912,1,1,1,0,0,1,0,41.5362012386322
5310,1765193543.2542853,3.0721591991587847,2.373941578728191,0.20946558405279597,0.0,2.5135864060908526,1.8880000000000001,0.916,1.044,0.9400000000000001,0.904,0.904,1,1,1,0,0,1,0,42.709612131118774
5311,1765193544.1848726,3.0721591991587847,2.373941578728191,0.20946558405279597,0.0,2.5135864060908526,1.9120000000000001,0.924,1.044,0.9440000000000001,0.904,0.908,1,1,1,0,0,1,0,43.67764401435852
5312,1765193545.3285482,3.0721591991587847,2.373941578728191,0.20946558405279597,0.0,2.5135864060908526,1.92,0.916,1.036,0.9400000000000001,0.9,0.896,1,1,1,0,0,1,0,44.60186839103699
5313,1765193546.2872822,3.0208504632748068,2.33429537386391,0.20596720650454847,0.0,2.5402614152001597,1.9000000000000001,0.916,1.036,0.936,0.9,0.896,1,1,1,0,0,1,0,45.74352192878723
5314,1765193547.1808085,3.0208504632748068,2.33429537386391,0.20596720650454847,0.0,2.5402614152001597,1.8960000000000001,0.928,1.044,0.9440000000000001,0.9,0.9,1,1,1,0,0,1,0,46.705634117126465
5315,1765193548.3423276,3.0208504632748068,2.33429537386391,0.20596720650454847,0.0,2.5402614152001597,1.9000000000000001,0.908,1.036,0.9400000000000001,0.896,0.9,1,1,1,0,0,1,0,47.596577167510986
5316,1765193549.2530143,3.110614143304719,2.419365407571112,0.13824946279770264,0.0,2.6267404165368324,1.8920000000000001,0.908,1.04,0.936,0.904,0.896,1,1,1,0,0,1,0,48.758503913879395
5317,1765193550.182435,3.110614143304719,2.419365407571112,0.13824946279770264,0.0,2.6267404165368324,1.9000000000000001,0.916,1.048,0.9400000000000001,0.9,0.9,1,1,1,0,0,1,0,49.67635440826416
5318,1765193551.393894,3.110614143304719,2.419365407571112,0.13824946279770264,0.0,2.6267404165368324,1.9000000000000001,0.912,1.044,0.9400000000000001,0.904,0.9,1,1,1,0,0,1,0,50.599040031433105
5319,1765193552.335871,3.004212129641495,2.3897149409379645,0.2048326452028292,0.0,2.5262692908348936,1.8880000000000001,0.916,1.036,0.936,0.904,0.896,1,1,1,0,0,1,0,51.8096227645874
5320,1765193553.2689118,3.004212129641495,2.3897149409379645,0.2048326452028292,0.0,2.5262692908348936,1.8960000000000001,0.92,1.048,0.9480000000000001,0.904,0.9,1,1,1,0,0,1,0,52.757357597351074
5321,1765193554.3517003,3.004212129641495,2.3897149409379645,0.2048326452028292,0.0,2.5262692908348936,1.9000000000000001,0.908,1.04,0.936,0.896,0.896,1,1,1,0,0,1,0,53.684691190719604
5322,1765193555.1480732,3.0988318840254983,2.394539751623715,0.21128264679744918,0.0,2.60581637017407,1.868,0.908,1.04,0.936,0.904,0.896,1,1,1,0,0,1,0,54.767157793045044
5323,1765193556.1394246,3.0988318840254983,2.394539751623715,0.21128264679744918,0.0,2.60581637017407,1.8960000000000001,0.912,1.044,0.9400000000000001,0.9,0.908,1,1,1,0,0,1,0,55.56620669364929
5324,1765193557.2735734,3.0988318840254983,2.394539751623715,0.21128264679744918,0.0,2.60581637017407,1.8920000000000001,0.908,1.04,0.936,0.9,0.896,1,1,1,0,0,1,0,56.55465483665466
5325,1765193558.015762,3.0657582799017375,2.3527973811317104,0.14259390865567284,0.0,2.566691821768718,1.9120000000000001,0.912,1.036,0.928,0.9,0.896,1,1,1,0,0,1,0,57.690025091171265
5326,1765193559.2083535,3.0657582799017375,2.3527973811317104,0.14259390865567284,0.0,2.566691821768718,1.8920000000000001,0.908,1.044,0.936,0.896,0.892,1,1,1,0,0,1,0,58.43640494346619
5327,1765193560.1686409,3.0657582799017375,2.3527973811317104,0.14259390865567284,0.0,2.566691821768718,1.8800000000000001,0.916,1.04,0.936,0.9,0.9,1,1,1,0,0,1,0,59.62340998649597
5328,1765193560.980201,3.0223420100249085,2.4466352512070126,0.21587949209882742,0.0,2.5905492118029567,1.9120000000000001,0.916,1.044,0.9440000000000001,0.9,0.892,1,1,1,0,0,1,1,0.0
5329,1765193562.0755224,3.0223420100249085,2.4466352512070126,0.21587949209882742,0.0,2.5905492118029567,1.8800000000000001,0.916,1.04,0.9400000000000001,0.904,0.9,1,1,1,0,0,1,1,0.8125481605529785
5330,1765193563.0115647,3.0223420100249085,2.4466352512070126,0.21587949209882742,0.0,2.5905492118029567,1.9000000000000001,0.916,1.036,0.936,0.896,0.892,1,1,1,0,0,1,1,1.9033534526824951
5331,1765193563.9482882,3.077481936433756,2.344774489182004,0.14654849159632918,0.0,2.5646048395825005,1.8840000000000001,0.92,1.036,0.9400000000000001,0.904,0.908,1,1,1,0,0,1,1,2.842284917831421
5332,1765193565.0691683,3.077481936433756,2.344774489182004,0.14654849159632918,0.0,2.5646048395825005,1.8960000000000001,0.912,1.04,0.932,0.9,0.912,1,1,1,0,0,1,1,3.778093099594116
5333,1765193566.0100946,3.037741514089522,2.430195182559671,0.20251642948757692,0.0,2.5314550752475946,1.8920000000000001,0.908,1.04,0.9400000000000001,0.904,0.896,1,1,1,0,0,1,1,4.898101329803467
5334,1765193567.0307555,3.037741514089522,2.430195182559671,0.20251642948757692,0.0,2.5314550752475946,1.9000000000000001,0.92,1.044,0.9400000000000001,0.9,0.904,1,1,1,0,0,1,1,5.840062141418457
5335,1765193568.0399714,3.037741514089522,2.430195182559671,0.20251642948757692,0.0,2.5314550752475946,1.9040000000000001,0.916,1.036,0.936,0.9,0.896,1,1,1,0,0,1,1,6.859419584274292
5336,1765193568.8180995,3.0849860823947055,2.3136970485916786,0.1402239510397257,0.0,2.5941353928665003,1.8960000000000001,0.916,1.044,0.9440000000000001,0.9,0.9,1,1,1,0,0,1,1,7.874849319458008
5337,1765193569.9379494,3.0849860823947055,2.3136970485916786,0.1402239510397257,0.0,2.5941353928665003,1.9000000000000001,0.916,1.04,0.9440000000000001,0.896,0.9,1,1,1,0,0,1,1,8.651022672653198
5338,1765193570.9558256,3.0849860823947055,2.3136970485916786,0.1402239510397257,0.0,2.5941353928665003,1.8880000000000001,0.912,1.04,0.9400000000000001,0.9,0.896,1,1,1,0,0,1,1,9.765553951263428
5339,1765193571.7743165,3.0716768153990195,2.428808219795511,0.21430676530807866,0.0,2.571687911359513,1.92,0.92,1.048,0.9440000000000001,0.896,0.9,1,1,1,0,0,1,1,10.794207572937012
5340,1765193572.88471,3.0716768153990195,2.428808219795511,0.21430676530807866,0.0,2.571687911359513,1.9160000000000001,0.916,1.044,0.9400000000000001,0.9,0.896,1,1,1,0,0,1,1,11.60933518409729
5341,1765193573.9113958,3.0716768153990195,2.428808219795511,0.21430676530807866,0.0,2.571687911359513,1.9120000000000001,0.908,1.036,0.936,0.9,0.908,1,1,1,0,0,1,1,12.713079452514648
5342,1765193574.719243,3.032540417691968,2.3978276875037445,0.1410486988840783,0.0,2.5388782191901553,1.9080000000000001,0.924,1.052,0.9520000000000001,0.904,0.904,1,1,1,0,0,1,1,13.741652488708496
5343,1765193575.8446565,3.032540417691968,2.3978276875037445,0.1410486988840783,0.0,2.5388782191901553,1.8920000000000001,0.912,1.048,0.9440000000000001,0.9,0.9,1,1,1,0,0,1,1,14.556817054748535
