sensor.flow0,sensor.flow1,sensor.flow2,sensor.flow3,sensor.flow4,sensor.pressure0,sensor.pressure1,sensor.pressure2,sensor.pressure3,sensor.pressure4,sensor.pressure5,valve.bigvalve0,valve.bigvalve1,valve.valve0,valve.valve1,valve.valve2,valve.valve3,valve.valve4,last_valve_change
2.459546605365878,1.6396915831967982,1.7887536915426148,0.8198451622441524,0.0,2.69064,1.87812,1.0716,1.9136400000000002,1.86036,1.8016999999999999,0,1,0,0,0,0,0,47.03901934623718
2.459546605365878,1.6396915831967982,1.7887536915426148,0.8198451622441524,0.0,2.69064,1.887,1.0678400000000001,1.9092000000000002,1.85592,1.7973999999999999,0,1,0,0,0,0,0,48.15501928329468
2.4487280911669687,1.7066905800452086,1.7808936109106774,0.8162426277406561,0.0,2.7306000000000004,1.9047600000000002,1.07536,1.9225200000000002,1.86036,1.8016999999999999,0,1,0,0,0,0,0,49.0521936416626
2.4487280911669687,1.7066905800452086,1.7808936109106774,0.8162426277406561,0.0,2.69064,1.87812,1.0640800000000001,1.89144,1.85148,1.7973999999999999,0,1,0,0,0,0,0,49.953627586364746
2.4487280911669687,1.7066905800452086,1.7808936109106774,0.8162426277406561,0.0,2.6862000000000004,1.887,1.0640800000000001,1.8958800000000002,1.85592,1.7931,0,1,0,0,0,0,0,51.020041704177856
2.5187265598638926,1.6028259926406587,1.7554770071926578,0.8395753732857083,0.0,2.7039600000000004,1.89144,1.0716,1.9136400000000002,1.85148,1.7973999999999999,0,1,0,0,0,0,0,51.78323221206665
2.5187265598638926,1.6028259926406587,1.7554770071926578,0.8395753732857083,0.0,2.69064,1.87812,1.0678400000000001,1.9136400000000002,1.8470400000000002,1.7931,0,1,0,0,0,0,0,52.85525870323181
2.421741948089561,1.6145000387813757,1.8163131728619117,0.8072516041278709,0.0,2.7084,1.9003200000000002,1.07536,1.9225200000000002,1.86036,1.8016999999999999,0,1,0,0,0,0,0,53.84462356567383
2.421741948089561,1.6145000387813757,1.8163131728619117,0.8072516041278709,0.0,2.7039600000000004,1.89144,1.07912,1.9180800000000002,1.86036,1.7973999999999999,0,1,0,0,0,0,0,54.66655158996582
2.421741948089561,1.6145000387813757,1.8163131728619117,0.8072516041278709,0.0,2.69064,1.87812,1.0678400000000001,1.88256,1.8426000000000002,1.7845,0,1,0,0,0,0,0,55.766611099243164
2.4794785808870317,1.6529794667351803,1.7281134111113232,0.8264886673747865,0.0,2.7128400000000004,1.8958800000000002,1.07912,1.9225200000000002,1.8648,1.8059999999999998,0,1,0,0,0,0,0,56.62206149101257
2.4794785808870317,1.6529794667351803,1.7281134111113232,0.8264886673747865,0.0,2.6950800000000004,1.887,1.0678400000000001,1.9092000000000002,1.85592,1.7931,0,1,0,0,0,0,0,57.61299657821655
2.418193552389416,1.6121294067105771,1.712888087161557,0.8060648892475241,0.0,2.69952,1.89144,1.0716,1.9047600000000002,1.86036,1.8016999999999999,0,1,0,0,0,0,0,58.69067358970642
2.418193552389416,1.6121294067105771,1.712888087161557,0.8060648892475241,0.0,2.73504,1.9580400000000002,1.07536,1.9669200000000002,1.9136400000000002,1.8618999999999999,0,1,0,0,0,0,1,0.0
2.418193552389416,1.6121294067105771,1.712888087161557,0.8060648892475241,0.0,2.7394800000000004,1.9669200000000002,1.0716,1.9758000000000002,1.9136400000000002,1.8661999999999999,0,1,0,0,0,0,1,0.9716892242431641
2.397876529514526,1.6485194742590912,1.723452768804129,0.8242605146465841,0.0,2.74392,1.9758000000000002,1.0716,1.9669200000000002,1.9092000000000002,1.8661999999999999,0,1,0,0,0,0,1,1.9990959167480469
2.397876529514526,1.6485194742590912,1.723452768804129,0.8242605146465841,0.0,2.7217200000000004,1.9580400000000002,1.0716,1.9669200000000002,1.9092000000000002,1.8748,0,1,0,0,0,0,1,2.8435866832733154
2.397876529514526,1.6485194742590912,1.723452768804129,0.8242605146465841,0.0,2.73504,1.9713600000000002,1.0716,1.9802400000000002,1.9225200000000002,1.8704999999999998,0,1,0,0,0,0,1,3.8401341438293457
2.4080618706775114,1.5535985238253773,1.6312739545090793,0.854475541983515,0.0,2.7572400000000004,1.9802400000000002,1.07912,1.9846800000000002,1.9314000000000002,1.8748,0,1,0,0,0,0,1,4.684507608413696
2.4080618706775114,1.5535985238253773,1.6312739545090793,0.854475541983515,0.0,2.7483600000000004,1.9624800000000002,1.0716,1.9713600000000002,1.9225200000000002,1.8704999999999998,0,1,0,0,0,0,1,5.632188081741333
2.4080618706775114,1.5535985238253773,1.6312739545090793,0.854475541983515,0.0,2.7528,1.9758000000000002,1.07536,1.9802400000000002,1.9225200000000002,1.8618999999999999,0,1,0,0,0,0,1,6.642086029052734
2.364958909366277,1.6020815269979245,1.6020864225382805,0.9154791546492362,0.0,2.73504,1.9713600000000002,1.0716,1.9624800000000002,1.9092000000000002,1.8661999999999999,0,1,0,0,0,0,1,7.415405988693237
